0004000000030500	ASSJ	スーパーストリートファイターIV 3D EDITION
0004000000045600	APCP	LEGO® Pirates of the Caribbean: The Video Game
0004000000043600	ADTE	Dream Trigger™ 3D
0004000000037400	APCE	LEGO® Pirates of the Caribbean: The Video Game
0004000000034600	AGRJ	ゴーストリコン シャドーウォー
0004000000044500	ASGE	Spongebob Squigglepants
0004000000034F00	ADDE	DEAD OR ALIVE Dimensions
0004000000031B00	AWAJ	パイロットウイングス リゾート
0004000000035300	AGLE	Green Lantern™: Rise of the Manhunters
0004000000036600	APPE	DualPenSports™
0004000000046500	AQNE	Cubic Ninja™
0004000000047E00	ALFJ	ワンピース アンリミテッド クルーズ スペシャル
0004000000039500	ANMJ	アニマルリゾート 動物園をつくろう!!
0004000000043E00	ABMJ	バイオハザード ザ･マーセナリーズ 3D
0004000000034000	AS9J	数独と3つのパズル ～ニコリのパズルバラエティ～
000400000004AC00	ABLZ	BlazBlue: Continuum Shift II
0004000000044B00	APFE	Petz Fantasy™ 3D
0004000000043300	ADEP	Sports Island 3D
0004000000043400	AS9P	Sudoku - The Puzzle Game Collection
000400000004A500	ATFE	TRANSFORMERS™: DARK OF THE MOON™ STEALTH FORCE™ EDITION
0004000000043900	ACNE	Cartoon Network Punch Time Explosion
0004000000044600	ADEE	Deca Sports Extreme
0004000000033500	AQEE	The Legend of Zelda™: Ocarina of Time™ 3D
0004000000035900	ABME	Resident Evil®: The Mercenaries 3D
0004000000039C00	APPJ	タッチ!ダブルペンスポーツ
0004000000033600	AQEP	The Legend of Zelda™: Ocarina of Time 3D
0004000000038B00	ABMP	Resident Evil™ The Mercenaries 3D
0004000000049600	ARFJ	Fish Eyes 3D
0004000000048D00	ARFE	Reel Fishing® Paradise 3D
000400000004C800	ADTP	Dream Trigger 3D
000400000004B800	AFAJ	FISH ON
000400000004A700	AABJ	テイルズ オブ ジ アビス
0004000000034800	ADLJ	ドクターロートレックと 忘却の騎士団
0004000000039900	APGJ	パックマン&ギャラガ ディメンションズ
0004000000047F00	AUCJ	アンチェインブレイズ レクス
0004000000033400	AQEJ	ゼルダの伝説 時のオカリナ 3D
0004000000052A00	JB6J	3Dブロック崩し
0004000000052D00	JA3J	ARC STYLE: さっかー!!3D
0004000000052600	JACJ	オセロ3D
0004000000040900	RAAJ	スーパーマリオランド
0004000000055800	JHSJ	ひゅ～ストン
0004000000048900	RARJ	ファンタズム
0004000000041800	RAFJ	星のカービィ
0004000000052900	JH4J	ニコリのパズル 数独
0004000000040B00	RABJ	ベースボール
0004000000049900	RASJ	ダウンタウンスペシャル くにおくんの時代劇だよ全員集合!
000400000004D800	AKNJ	剣と魔法と学園モノ。3D
0004000000052800	JMPJ	ミステリー P.I. ～消えたフィルム～
0004000000045C00	SAEJ	3Dクラシックス エキサイトバイク
0004000000042900	QAAJ	ゼルダの伝説 夢をみる島DX
000400000004D500	SABJ	3Dクラシックス ゼビウス
0004000000040A00	RAAP	Super Mario Land™
0004000000041000	RACP	Alleyway™
0004000000032600	JRVA	Pokédex™ 3D
0004000000041300	RADP	Tennis
0004000000042600	QAAD	The Legend of Zelda™: Link's Awakening DX™
0004000000042800	QAAF	The Legend of Zelda™: Link's Awakening DX™
0004000000042A00	QAAP	The Legend of Zelda™: Link's Awakening DX™
0004000000054E00	SAEP	3D Classics Excitebike™
0004000000041500	RAEJ	クイックス
0004000000041E00	RAHJ	ドンキーコング
0004000000046C00	RAQJ	怒りの要塞
000400000004EF00	RAWJ	ロックマンワールド
0004000000040800	RAAE	Super Mario Land™
0004000000054300	SAEE	3D Classics: Excitebike™
0004000000040E00	RACE	Alleyway™
0004000000042E00	RAME	Radar Mission™
0004000000036000	ADRE	DRIVER® RENEGADE
0004000000048200	AFDE	Angler's Club: Ultimate Bass Fishing™ 3D
0004000000036300	APGE	PAC-MAN® & Galaga® Dimensions
0004000000042700	QAAE	The Legend of Zelda™: Link's Awakening DX™
000400000005B800	JE6E	The Legend of Zelda: Ocarina of Time 3D E3 Video
000400000005B200	JECE	Mario Kart E3 Video
000400000005B600	JE5E	Luigi's Mansion 2 E3 Video
000400000005BA00	JE7E	Super Mario E3 Video
000400000005AE00	JE3E	Kid Icarus: Uprising E3 Video
000400000005C000	JEZE	Starfox 64 3D E3 Video
000400000005B000	JE2E	Paper Mario™ E3 Video
000400000005B400	JE4E	Animal Crossing™ E3 Video
000400000005BC00	JE8E	METAL GEAR SOLID 3D SNAKE EATER E3 Video
000400000005BE00	JE9E	RESIDENT EVIL®: Revelations E3 Video
000400000005B700	JE6J	[E3出展映像 3D版] ゼルダの伝説 時のオカリナ 3D
000400000005AD00	JE3J	[E3出展映像 3D版] 新・光神話 パルテナの鏡
000400000005AF00	JE2J	[E3出展映像 3D版] ペーパーマリオ（仮称）
000400000005B300	JE4J	[E3出展映像 3D版] どうぶつの森（仮称）
000400000005B500	JE5J	[E3出展映像 3D版] ルイージマンション2（仮称）
000400000005B900	JE7J	[E3出展映像 3D版] スーパーマリオ（仮称）
000400000005BB00	JE8J	[E3出展映像 3D版] MGS SNAKE EATER 3D
000400000005BD00	JE9J	[E3出展映像 3D版] BIOHAZARD REVELATIONS
000400000005B100	JECJ	[E3出展映像 3D版] マリオカート（仮称）
000400000005BF00	JEZJ	[E3出展映像 3D版] スターフォックス64 3D
000400000005F000	JG5E	GREEN LANTERN TRAILER
0004000000042400	RAKJ	ゲームボーイギャラリー
000400000004B400	RAUJ	ダブルドラゴン
0004000000041F00	RAHP	Donkey Kong™
0004000000041D00	RAHE	Donkey Kong™
0004000000046400	AG3E	Gabrielle's Ghostly Groove™ 3D
0004000000038800	AMTE	Shin Megami Tensei®: Devil Survivor Overclocked™
000400000004EB00	ASHE	MAHJONG CUB3D™
0004000000034700	JERJ	いつの間にテレビ
0004000000043000	RAMP	Radar Mission™
0004000000049D00	RAUP	Double Dragon
0004000000046A00	AG3J	うしみつモンストルオ リンゼと魔法のリズム
0004000000039F00	AB9J	ビックリマン漢熟覇王 三位動乱戦創紀
0004000000041100	RADE	Tennis
0004000000035C00	ABPE	Balloon Pop® 2
0004000000052700	JM4J	@SIMPLE DLシリーズ Vol.1 THE 密室からの脱出 ～不思議なクマドナルバーガー編～
0004000000059200	JBGJ	ラビラビ外伝 Witch's Cat (ウィッチズキャット)
000400000004F300	RAXJ	レッドアリーマー MAKAIMURA GAIDEN
0004000000036100	AHCE	James Noir's Hollywood Crimes™
0004000000042C00	RALJ	ゴルフ
0004000000041900	RAFP	Kirby's Dream Land™
000400000004FA00	RAZJ	パックマン
0004000000042100	RAJJ	マリオのピクロス
0004000000030400	ANRJ	スターフォックス64 3D
0004000000041700	RAFE	Kirby's Dream Land™
000400000005FC00	JE6P	The Legend of Zelda: Ocarina of Time 3D-E3-Video
0004000000063500	JE6X	The Legend of Zelda: Ocarina of Time 3D E3 Video
0004000000063400	JE6Y	Vídeo E3 para Zelda: Ocarina of Time 3D
0004000000063300	JE6Z	The Legend of Zelda: Ocarina of Time 3D E3 Video
000400000005FD00	JE7P	Super Mario-E3-Video
0004000000063800	JE7X	Super Mario E3 Video
0004000000063700	JE7Y	Vídeo E3 para Super Mario
0004000000063600	JE7Z	Super Mario E3 Video
0004000000063E00	JE9X	Resident Evil Revelations E3 gameplay trailer
0004000000063D00	JE9Y	Trailer de E3 para Resident Evil Revelations
0004000000063C00	JE9Z	Resident Evil Revelations E3 gameplay trailer
000400000005F900	JECP	Mario Kart-E3-Video
0004000000062C00	JECX	Mario Kart E3 Video
0004000000062B00	JECY	Vídeo E3 para Mario Kart
0004000000062A00	JECZ	Mario Kart E3 Video
0004000000060000	JEZP	Starfox 64 3D-E3-Video
0004000000064100	JEZX	Starfox 64 3D E3 Video
0004000000064000	JEZY	Vídeo E3 para Starfox 64 3D
0004000000063F00	JEZZ	Starfox 64 3D E3 Video
0004000000053200	ANWJ	謎惑館 音の間に間に
0004000000045D00	APGP	PAC-MAN™ & Galaga™ Dimensions
0004000000062500	JE3Y	Vídeo E3 para Kid Icarus: Uprising
0004000000062900	JE2X	Paper Mario™ E3 Video
0004000000062600	JE3X	Kid Icarus: Uprising E3 Video
0004000000062F00	JE4X	Animal Crossing™ E3 Video
0004000000063200	JE5X	Luigi's Mansion 2 E3 Video
0004000000063B00	JE8X	METAL GEAR SOLID 3D SNAKE EATER E3 Video
0004000000062700	JE2Z	Paper Mario™ E3 Video
0004000000062400	JE3Z	Kid Icarus: Uprising E3 Video
0004000000062D00	JE4Z	Animal Crossing™ E3 Video
0004000000063000	JE5Z	Luigi's Mansion 2 E3 Video
0004000000063900	JE8Z	METAL GEAR SOLID 3D SNAKE EATER E3 Video
0004000000062800	JE2Y	Vídeo E3 para Paper Mario™
0004000000062E00	JE4Y	Vídeo E3 para Animal Crossing™
0004000000063100	JE5Y	Vídeo E3 para Luigi's Mansion 2
0004000000063A00	JE8Y	Vídeo E3 para METAL GEAR SOLID 3D
000400000005F800	JE2P	Paper Mario™-E3-Video
0004000000060500	JE3P	Kid Icarus: Uprising-E3-Video
000400000005FA00	JE4P	Animal Crossing™-E3-Video
000400000005FB00	JE5P	Luigi's Mansion 2-E3-Video
000400000004E700	SADJ	3Dクラシックス アーバンチャンピオン
000400000004FD00	RA2J	高橋名人の冒険島Ⅱ
0004000000055100	SABP	3D Classics Xevious™
0004000000041400	RAEE	Qix™
0004000000046B00	RAQE	Fortified Zone
0004000000046D00	RAQP	Fortified Zone
0004000000041600	RAEP	QIX
0004000000042200	RAJP	Mario's Picross™
0004000000042500	RAKP	Game & Watch™ Gallery
0004000000041200	RADJ	テニス
0004000000066B00	JBJJ	ニコリのパズル 美術館
0004000000056800	AMPJ	びっくり!とびだす!魔法のペン
000400000004D700	ACCJ	スーパーポケモンスクランブル
000400000004A900	JESJ	ニンテンドービデオ
0004000000052000	JLGP	Let's Golf! 3D
0004000000040D00	RABP	Baseball
0004000000042300	RAKE	Game & Watch™ Gallery
0004000000040C00	RABE	Baseball
0004000000057700	JFLE	Netflix
0004000000045F00	ABTE	BIT.TRIP SAGA
0004000000036800	ADLE	Doctor Lautrec and the Forgotten Knights
0004000000037800	ADRP	DRIVER® RENEGADE 3D
0004000000050600	RA5J	ドクターマリオ
0004000000052B00	JG4J	銀星将棋3D
0004000000044200	AFDP	Angler’s Club: Ultimate Bass Fishing™ 3D
0004000000043B00	AGTP	Thor™: God of Thunder
0004000000054700	SABE	3D Classics: Xevious™
000400000004F700	RAYJ	PITMAN
000400000004AA00	JESE	Nintendo Video
0004000000040600	ACAE	Captain America™: Super Soldier
0004000000040500	AGTE	Thor™: God of Thunder
000400000004EC00	APUE	Puzzler Mind Gym® 3
0004000000064200	JEXJ	ピクロスe
0004000000064300	JLGJ	レッツ!ゴルフ 3D
0004000000049A00	RATJ	熱血高校ドッジボール部 ～強敵!闘球戦士の巻～
0004000000068700	JHMJ	謎惑館 音の間に間に 第一話「光る目」
0004000000040F00	RACJ	アレイウェイ
0004000000045400	APPP	DualPenSports™
0004000000049100	ANRP	Star Fox 64™ 3D
0004000000049000	ANRE	Star Fox 64™ 3D
000400000005CA00	JLGE	Let's Golf! 3D
0004000000053000	JBPJ	ARC STYLE: Jazzy BILLIARDS 3D Professional
0004000000043200	QABJ	トレード&バトル カードヒーロー
0004000000053100	JBVJ	VectorRacing
000400000004D600	SACJ	3Dクラシックス ツインビー
0004000000066A00	JK6J	ニコリのパズル カックロ
000400000004FC00	RAZP	PAC-MAN™
0004000000042000	RAJE	Mario's Picross™
0004000000049700	RARP	Avenging Spirit
0004000000060700	ASKJ	両目で右脳を鍛える 3D速読術
0004000000050C00	RA7J	サイドポケット
0004000000050F00	RA8J	ヘラクレスの栄光 動き出した神々
000400000004A100	ACVE	Cave Story 3D
0004000000066800	JC3J	ニコリのパズル スリザーリンク
0004000000049800	RARE	Avenging Spirit
0004000000044700	AF2P	FIFA 12
0004000000036E00	ASPE	Skylanders Spyro's Adventure
0004000000050900	RA6J	バーガータイムデラックス
0004000000051000	RA9J	ZOIDS ゾイド伝説
000400000004D900	ADVJ	デビルサバイバー オーバークロック
0004000000054F00	SADP	3D Classics Urban Champion™
0004000000054500	SADE	3D Classics: Urban Champion™
0004000000047A00	AF2E	FIFA Soccer 12
0004000000036900	AFRE	Frogger 3D
000400000004C600	APBE	Pinball Hall of Fame: The Williams Collection
000400000006E300	JNKJ	ニコリのパズル ぬりかべ
0004000000061A00	AS7E	Spider-Man™: Edge of Time
000400000004DD00	AWPE	Wipeout 2
000400000004F500	RAXP	GARGOYLE'S QUEST
000400000004F400	RAXE	GARGOYLE'S QUEST
000400000004FB00	RAZE	PAC-MAN®
0004000000042B00	RALE	Golf
000400000004F800	RAYE	CATRAP
0004000000070500	TAMJ	アイスクライマー
000400000006E400	TAAJ	スーパーマリオブラザーズ
000400000006F000	TAEJ	ゼルダの伝説1
000400000006FF00	TAKJ	ドンキーコングJR.
000400000006F600	TAGJ	レッキングクルー
000400000006ED00	TADJ	メトロイド
0004000000070200	TALJ	バルーンファイト
0004000000070800	TANJ	リンクの冒険
0004000000071100	TARJ	ヨッシーのたまご
000400000006F900	TAHJ	マリオオープンゴルフ
0004000000049500	JPTJ	いきものづくり クリエイトーイ
000400000006E500	TAAE	Super Mario Bros.™
000400000006EE00	TADE	Metroid™
000400000006F100	TAEE	The Legend of Zelda™
000400000006FA00	TAHE	NES Open Tournament Golf™
0004000000070000	TAKE	Donkey Kong Jr.™
0004000000070300	TALE	Balloon Fight™
0004000000070600	TAME	Ice Climber™
0004000000070900	TANE	Zelda II™ - The Adventure of Link™
0004000000071200	TARE	Yoshi™
000400000006F800	TAGP	Wrecking Crew
000400000006F200	TAEP	The Legend of Zelda™
000400000006F700	TAGE	Wrecking Crew™
000400000006E600	TAAP	Super Mario Bros.™
0004000000072300	JC9J	アンバサダー・プログラム登録証
000400000006EF00	TADP	Metroid™
000400000006FB00	TAHP	NES Open Tournament Golf
0004000000070100	TAKP	Donkey Kong Jr.™
0004000000070400	TALP	Balloon Fight™
0004000000070700	TAMP	Ice Climber™
0004000000070A00	TANP	Zelda II: The Adventure of Link
0004000000071300	TARP	Mario & Yoshi™
0004000000072500	JC9E	Ambassador Certificate
0004000000072400	JC9P	Nintendo 3DS Ambassador Certificate
0004000000066C00	ACCE	Pokémon™ Rumble Blast
0004000000043800	ATLE	Tetris®: Axis
0004000000053800	AFRJ	フロッガー3D
000400000006DE00	JBWJ	おきらくボウリング3D
0004000000066400	JDNJ	ドットイーター ニューピックダン
0004000000051B00	ABHJ	閃乱カグラ -少女達の真影-
000400000006DD00	JHWJ	ニコリのパズル へやわけ
0004000000036C00	AGXE	Generator Rex: Agent of Providence
0004000000036F00	ASUJ	花といきもの立体図鑑
0004000000054400	SACE	3D Classics: TwinBee™
000400000004F100	RAWE	Mega Man™: Dr. Wily's Revenge
000400000006BA00	JJUJ	Conference 2011 GIRLS MODE（仮称）
000400000006B000	JJ6J	Conference 2011 マリオカート7
000400000006C700	JJEJ	Conference 2011 SDガンダム GGENERATION 3D
000400000006BC00	JJSJ	Conference 2011 BIOHAZARD REVELATIONS
000400000006C000	JJNJ	Conference 2011 ラビリンスの彼方
000400000006BF00	JJPJ	Conference 2011 ウイニングイレブン 2012
000400000006C100	JJMJ	Conference 2011 スライムもりもりDQ3
000400000006C400	JJHJ	Conference 2011 リズム怪盗R 皇帝ナポレオンの遺産
000400000006C600	JJFJ	Conference 2011 ACECOMBAT 3D
000400000006AF00	JJ7J	Conference 2011 スーパーマリオ 3Dランド
000400000006B800	JJWJ	Conference 2011 カルドセプト
000400000006AE00	JJ8J	Conference 2011 心霊カメラ ～憑いてる手帳～
000400000006B600	JJYJ	Conference 2011 どうぶつの森（仮称）
000400000006B700	JJXJ	Conference 2011 ペーパーマリオ（仮称）
000400000006B900	JJVJ	Conference 2011 マリオテニス（仮称）
000400000006B500	JJZJ	Conference 2011 ルイージマンション2
000400000006BB00	JJTJ	Conference 2011 モンスターハンター3(トライ)G
000400000006BE00	JJQJ	Conference 2011 MGS SNAKE EATER 3D
000400000006C200	JJLJ	Conference 2011 シアトリズム ファイナルファンタジー
000400000006C500	JJGJ	Conference 2011 Project mirai（仮）
000400000006C300	JJKJ	Conference 2011 ソニック ジェネレーションズ
000400000006C800	JJDJ	Conference 2011 TEKKEN 3D PRIME EDITION
000400000006C900	JJCJ	Conference 2011 ガールズRPG シンデレライフ
0004000000073300	JASJ	BRAVELY DEFAULT AR体験アプリ
000400000006AD00	JJ9J	Conference 2011 花といきもの立体図鑑
000400000006B100	JJ5J	Conference 2011 新・光神話 パルテナの鏡
000400000006B200	JJ4J	Conference 2011 ファイアーエムブレム(仮称)
000400000006B300	JJ3J	Conference 2011 マリオ&ソニック ロンドン
000400000006B400	JJ2J	Conference 2011 カルチョビット（仮称）
0004000000055B00	ASVE	Shinobi™
000400000004C100	ATLP	TETRIS® 
000400000005A900	AS4P	The Sims™ 3 Pets
000400000004F200	RAWP	Mega Man™: Dr. Wily's Revenge
000400000005AA00	ASVP	Shinobi™
000400000004A800	ASBJ	スーパーブラックバス 3Dファイト
0004000000071C00	JM9J	ニコリのパズル ましゅ
0004000000052F00	JK3J	おきらくテニス3D
0004000000055300	SACP	3D Classics TwinBee™
0004000000050300	RA4J	メトロイドⅡ RETURN OF SAMUS
0004000000042F00	RAMJ	レーダーミッション
0004000000068D00	JCAJ	引ク押ス
0004000000052C00	JALJ	おてがるパズルシリーズ アリスと魔法のトランプ
000400000004E000	ACTE	Puppies 3D
000400000004AD00	ACPE	Centipede: Infestation 
0004000000036200	APZE	Pet Zombies
000400000004D200	ACVP	Cave Story 3D
0004000000079200	JJXP	Paper Mario™: 3D Trailer
0004000000079000	JJ5P	Kid Icarus™: Uprising: 3D Trailer
0004000000078E00	JJ6P	Mario Kart™ 7: 3D Trailer
0004000000078F00	JJ7P	Super Mario 3D Land™: 3D Trailer
0004000000079400	JJVP	Mario Tennis™: 3D Trailer
0004000000079300	JJYP	Animal Crossing™: 3D Trailer
0004000000079100	JJZP	Luigi's Mansion™ 2: 3D Trailer
0004000000040700	ABNE	Ben 10™ Galactic Racing
0004000000041A00	RAGE	Super Mario Land™ 2: 6 Golden Coins™
0004000000041C00	RAGP	Super Mario Land™ 2: 6 Golden Coins™
000400000004A400	AHPE	LEGO® Harry Potter™: Years 5-7
0004000000054000	AREE	Super Mario™ 3D Land
0004000000079700	JJ6E	Mario Kart™ 7 Preview
0004000000079800	JJ7E	Super Mario 3D Land™ Preview
0004000000079B00	JJXE	Paper Mario™ Preview
0004000000079D00	JJVE	Mario Tennis™ Preview
0004000000079C00	JJYE	Animal Crossing™ Preview
0004000000079A00	JJZE	Luigi's Mansion™ 2 Preview
0004000000039E00	ATLJ	テトリス
0004000000053D00	AMEJ	豆しば
000400000005C300	AMRJ	スライムもりもり ドラゴンクエスト3
0004000000065600	AYGJ	勇現会社ブレイブカンパニー
000400000004F000	ADRJ	ドライバー：レネゲイド 3D
0004000000041B00	RAGJ	スーパーマリオランド2 6つの金貨
0004000000049200	AHPP	LEGO® Harry Potter™: Years 5-7
000400000004F900	RAYP	CATRAP
0004000000050D00	RA7E	Side Pocket
0004000000064900	AC3E	ACE COMBAT® Assault Horizon Legacy
0004000000047900	AT2E	Harvest Moon® 3D: The Tale of Two Towns
0004000000051500	ANSP	Need for Speed: The Run
0004000000048500	AMJE	Michael Jackson The Experience
000400000006DF00	JS3J	怪盗スティナと30の宝石
0004000000042D00	RALP	Golf
0004000000064600	AZTJ	AZITO 3D
000400000004D400	APYJ	ドッグスクール ラブリーパピー
0004000000060800	AJPJ	ジュエルペット 魔法のリズムでイェイッ!
0004000000065700	ANLJ	nicola監修 モデル☆おしゃれオーディション 2
0004000000066700	JKMJ	ARC STYLE: ソリティア
0004000000060F00	JA9P	Pyramids
0004000000067100	QAFJ	バルーンファイトGB
0004000000053F00	AREP	Super Mario 3D Land™
0004000000066D00	ACCP	Super Pokémon™ Rumble
0004000000037300	AHDE	The Hidden
0004000000051400	ANSE	Need For Speed™: The Run
0004000000030800	AMKE	Mario Kart™ 7
0004000000062300	ASNE	Sonic Generations™
000400000006A600	AF4P	F1 2011™ 
0004000000056100	AFRP	Frogger 3D
0004000000073C00	AM3Z	Mein Fohlen 3D
0004000000064F00	AMZP	Mahjong 3D Warriors of the Emperor
000400000006D700	AP3P	Pets Paradise Resort 3D
0004000000062200	ASNP	Sonic Generations™
0004000000069000	RBKJ	カービィのブロックボール
0004000000073E00	JHTJ	ニコリのパズル ひとりにしてくれ
0004000000054100	AREJ	スーパーマリオ 3Dランド
0004000000071B00	JTBJ	タッチバトル戦車3D
0004000000065F00	ASVJ	Shinobi 3D
000400000005DD00	AH9J	薄桜鬼 3D
000400000004E400	ACQE	Cooking Mama 4: Kitchen Magic
0004000000049C00	RAUE	Double Dragon®
000400000007CE00	JQRE	The Pig Who Cried Werewolf
000400000007CF00	JQSE	Night of the Living Carrots
000400000007D000	JQTE	Thriller
0004000000050B00	RA6P	Burger Time DELUXE
0004000000064C00	JELJ	疾走すりぬけ アナトウス
000400000007B600	JQFJ	Nintendo Direct 2011.10.21 キングダム ハーツ 3D
000400000007B200	JQBJ	Nintendo Direct 2011.10.21 ザ・ローリング・ウエスタン
000400000007B300	JQCJ	Nintendo Direct 2011.10.21 ニンテンドー3DSカメラ
000400000007B100	JQAJ	Nintendo Direct 2011.10.21 ひらり 桜侍
000400000007B400	JQDJ	Nintendo Direct 2011.10.21 モンスターハンター3(トライ)G
000400000007B700	JQGJ	Nintendo Direct 2011.10.21 牧場物語 はじまりの大地
000400000007B500	JQEJ	Nintendo Direct 2011.10.21 FabStyle
0004000000071D00	AFVJ	FabStyle
0004000000040400	ACRP	CRUSH™3D
0004000000061400	AW2E	Carnival Games® Wild West 3D
000400000006CC00	AC3P	Ace Combat Assault Horizon Legacy
000400000005ED00	ACQP	Cooking Mama 4
0004000000058A00	RBGJ	ロックンチェイス
000400000006E000	JTKJ	タケヤリマン
0004000000068200	JA9E	Pyramids
0004000000050A00	RA6E	Burger Time Deluxe™
000400000004FF00	RA2P	ADVENTURE ISLAND
0004000000030700	AMKP	Mario Kart™ 7
0004000000049B00	RAVJ	びっくり熱血新記録! どこでも金メダル
0004000000067800	JPTP	Freakyforms™ Your Creations, Alive!
0004000000050E00	RA7P	Side Pocket
0004000000073800	AUMJ	パチパラ3D プレミアム海物語 ～夢見る乙女とパチンコ王決定戦～
0004000000056A00	ACQJ	クッキングママ 4
000400000006E200	ANSJ	ニード･フォー･スピード ザ･ラン
000400000004CA00	ASNJ	ソニックジェネレーションズ 青の冒険
0004000000071F00	ACHJ	クレヨンしんちゃん 宇宙DE アチョー!? 友情のおバカラテ!!
0004000000059F00	AE2J	ワールドサッカー ウイニングイレブン 2012
0004000000037100	ACRE	Crush™3D
0004000000067200	RBEE	Balloon Kid™
000400000006A700	ARDP	Arcade Classics 3D
0004000000061700	AE2P	PES 2012 3D -  Pro Evolution Soccer
0004000000067700	JPTE	Freakyforms™: Your Creations, Alive!
0004000000050500	RA4P	Metroid™ II - Return of Samus
0004000000050800	RA5P	Dr. Mario™
000400000006A800	ACWP	Chevrolet Camaro Wild Ride 3D
0004000000066200	AFBP	Crash Time 3D
000400000005AC00	JLLJ	ひらり 桜侍
0004000000058300	RBDJ	BIONIC COMMANDO
0004000000057D00	RBAP	Wario Land: Super Mario Land 3
0004000000055000	SAFP	3D Classics Kirby's Adventure™
000400000006A200	JENP	Zen Pinball 3D
0004000000066100	AWSP	Winter Sports 2012 - Feel the Spirit
0004000000037200	AFCE	Face Racers: Photo Finish
0004000000047B00	AN3E	Nano Assault
0004000000030600	AMKJ	マリオカート7
0004000000048600	AJWE	Jaws: Ultimate Predator
0004000000059100	QAEJ	メタファイトEX
0004000000066900	JGEJ	銀星囲碁3D
000400000004BE00	AE3J	お茶犬といつもなかよし
000400000005E300	AK9J	熱血硬派くにおくん すぺしゃる
0004000000077800	ACTJ	かわいい仔犬3D
